4pr0n.ripme,1.046302942319655
addthis.stream-lib,3.7141269620035726
andsel.moquette,3.995544764907171
apache.accumulo,10.30871669837897
apache.archiva,2.707136235305969
apache.beam,11.323670729370232
apache.bookkeeper,1.8616818602090406
apache.eagle,4.586171942150954
apache.flink,5.132529498575833
apache.incubator-brooklyn,3.9366627489911314
apache.jackrabbit,8.999108899569423
apache.jackrabbit-oak,9.495994861997128
apache.maven-surefire,7.265568133533572
apache.nifi,3.8097801629184387
apache.sling,7.016708046651671
apache.tika,5.9618923866945694
apache.tomee,8.622605573820891
apache.wicket,14.471855633846355
atilika.kuromoji,3.386991085003924
atomix.atomix,0.6311236664122759
aws.aws-sdk-java,10.117088510330397
bouncestorage.chaos-http-proxy,2.2151945561027095
brianfrankcooper.YCSB,6.386621087474145
CamelCookbook.camel-cookbook-examples,2.105165187009515
chocoteam.choco-solver,7.808454016490751
cloudera.spark-dataflow,0.8817861520195254
CloudSlang.cloud-slang,12.817632198680593
cometd.cometd,2.7309110779023893
eclipse.jetty.project,5.237205344180827
eclipse.vert.x,5.205067178323309
facebookarchive.linkbench,4.1613725972058955
forge.core,4.178938739773237
google.closure-compiler,7.847558428724457
graphaware.neo4j-framework,9.308659018725926
hazelcast.hazelcast,4.345896396780964
hector-client.hector,6.347818683247149
hibernate.hibernate-search,5.460183343121414
httl.httl,3.090654402704583
INRIA.spoon,5.734134192380853
javaslang.javaslang,18.126130935250014
JCTools.JCTools,1.4981683143232123
jenkinsci.docker-build-publish-plugin,2.771878698346495
jenkinsci.gerrit-trigger-plugin,3.2588439966912657
jenkinsci.github-plugin,1.7710967642068962
keepkey.multibit-hd,6.262536584035518
konsoletyper.teavm,4.560945389655294
languagetool-org.languagetool,6.417050766427366
LiveRamp.hank,3.3473029303487776
mongojack.mongojack,0.6303607288784866
neo4j.neo4j-ogm,2.7632477773173347
OpenGamma.Strata,14.117983111048773
patrickfav.density-converter,2.0614420779088123
prestodb.presto,7.240549563667343
resteasy.Resteasy,6.036431571657565
salesforce.Argus,6.21654781284853
spinscale.elasticsearch-opennlp-plugin,0.47400213482038056
spring-cloud.spring-cloud-aws,6.269472799137802
spring-projects.spring-data-redis,29.243703824689298
spullara.mustache.java,3.3404376313752406
structr.structr,2.079255476206231
tamingtext.book,3.8919456689094685
tdunning.t-digest,7.611129712087467
Tesco.mewbase,3.3331935422257746
timmolter.XChange,3.1195777378725356
ttrelle.spring-data-examples,2.308411436673988
twilio.twilio-java,0.48451876852189624
twitter.GraphJet,4.63906051917869
vaadin.framework,24.45227929910328
wildfly-swarm-archive.ARCHIVE-wildfly-swarm,5.615374382993067
wildfly.wildfly,2.369911043561309
xiaolongzuo.niubi-job,6.526681143544833
ysc.word,2.8012074698048686
