SUBJECT,TESTS,ELAPSED_T
retrofit,389,16.87
okhttp,1854,97.25
java-design-patterns,4268,132.21
guava,812497,325.13
libgdx,30,4.51
spring-boot,211,14.53
fastjson,3512,23.67
dubbo,1287,78.35
FizzBuzzEnterpriseEdition,1,2.58
junit4,967,10.77
vert.x,2732,213.50
dropwizard,1225,93.74
spark,291,19.45
otto,52,3.31
druid,3873,54.96
metrics,427,16.45
jedis,481,3.17
android-volley,100,7.76
titan,316,767.66
guice,3723,38.49
druid,3873,55.16
scribejava,109,5.37
swagger-core,702,22.35
HikariCP,108,136.21
jsoup,510,2.87
webmagic,33,9.00
async-http-client,429,139.64
DiskLruCache,61,3.27
okio,692,113.44
closure-compiler,11043,76.27
atmosphere,258,36.53
alluxio,1646,482.32
orientdb,5493,650.47
javapoet,271,8.23
jstorm,43,353.80
joda-time,4201,4.66
graylog2-server,1210,204.33
parceler,82,6.42
spring-mvc-showcase,81,15.92
dex2jar,586,17.13
nanohttpd,239,42.77
mapdb,4284,662.78
moshi,350,3.54
jsonschema2pojo,157,16.20
motan,113,5.81
distributedlog,223,424.65
http-request,163,2.56
twitter4j,148,3.48
Bukkit,906,1.90
Algorithms,486,1.58
antlr4,1585,108.12
wire,416,8.09
wildfly,980,178.76
javacpp,26,20.65
weixin-java-tools,19,8.84
jersey,4360,1107.43
spring-security-oauth,706,15.64
vectalign,9,2.44
aws-sdk-java,1014,217.61
robovm,180,12.03
blade,3,4.12
gs-collections,166,10.29
