name,inferred,mode
apache_avro,false,C3
apache_oozie,false,C2
apache_opennlp,true,FC0
apache_opennlp,true,FC0
bouncestorage_chaos-http-proxy,false,C2
cache2k_cache2k,false,C2
cache2k_cache2k,false,C2
eclipse_hawkbit,true,FC0
eclipse_hawkbit,true,FC0
eclipse_leshan,false,C2
floragunncom_search-guard,false,FC0
javaparser_javaparser,false,C1
kiegroup_optaplanner,false,FC0
lejon_T-SNE-Java,false,FC0
lejon_T-SNE-Java,false,FC0
Netflix_curator,true,FC0
Netflix_curator,true,FC0
togglz_togglz,false,C1
twilio_twilio-java,false,FC0
vavr-io_vavr,false,C3
zxing_zxing,false,FC0
