name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd
activiti_activiti,SUCCESS,SUCCESS,2093,400,0,3,494,NA,452.502,NA
apache_avro,SUCCESS,SUCCESS,3765,181,0,3,812,NA,249.483,NA
apache_gora,SUCCESS,SUCCESS,103,18,0,3,1705.8,NA,82.735,NA
apache_incubator-dubbo,SUCCESS,SUCCESS,2663,346,0,3,818,NA,685.296,NA
floragunncom_search-guard,SUCCESS,SUCCESS,111,21,0,3,396,NA,1057.357,NA
google_guava,SUCCESS,SUCCESS,1701837,497,1,3,1018,NA,939.060999999998,NA
java-design-patterns,SUCCESS,SUCCESS,4412,343,2,3,677,NA,227.063,NA
javaparser_javaparser,SUCCESS,SUCCESS,2363,218,0,3,359,NA,311.616,NA
kiegroup_optaplanner,SUCCESS,SUCCESS,1225,202,0,3,430.8,NA,410,NA
netty,SUCCESS,SUCCESS,13957,460,0,3,1386,NA,839.804,NA
spring-projects_spring-boot,SUCCESS,SUCCESS,5865,711,27,3,1270,NA,476.865,NA
zavtech_morpheus-core,SUCCESS,SUCCESS,2962,1,0,3,535,NA,523.73,NA
